Park Name,Address
12th Ave. Square Park,564 12th Ave
14th Avenue NW Boat Ramp,4400 14th Ave NW
3001 E Madison,3001 E Madison St
32nd Ave W,32nd Ave W
6th Avenue NW Pocket Park,606  NW 76th St
A. B. Ernst Park,723 N 35th St
Adams Street Boat Ramp,Lake Washington Blvd S & S Adams St
Albert Davis Park,12526 27th Ave NE
Alki Beach Park,1702 Alki Ave SW
Alki Playground,5817 SW Lander St
Alvin Larkins Park,1504 34TH Ave
Amy Yee Tennis Center,2000 Martin Luther King Jr Way S
Andover Place,4000 Beach Dr SW
Arapahoe Triangle,3431 Arapahoe Pl W
Arroyos Natural Area,4120 Arroyo Dr SW
Atlantic City Boat Ramp,8702 Seward Park Ave S
Atlantic Street Park,1501 21st Ave S
B.F. Day Playground,4020 Fremont Ave N
Bagley Viewpoint,2548 Delmar Dr E
Baker Park on Crown Hill,8347 14th Ave NW
Ballard Commons Park,5701 22nd Ave NW
Ballard Corners Park,1702 nw 62nd St
Ballard Playground,2644 NW 60th St
Banner Way Triangle,7802 Banner Way NE
Bar-S Playground,6425 SW Admiral Way
Bayview Playground,2614 24th Ave W
Bayview-Kinnear (Lower Kerry Park),3rd Ave W & W Prospect St
Beacon Hill Playground,1902 13th Ave S
Beacon Place,1110 S Dearborn St
Beaver Pond Natural Area on Thornton Creek,5th Ave NE & NE 103rd St
Beck Place,5809 15th Ave NE
Beer Sheva Park,8650 55th Ave S
Bell Street Park,1st to 5th Ave on Bell St
Bellevue Place,Bellevue Ave E & Bellevue Pl E
Belltown Cottage Park,2512 Elliott Ave
Belmont Place,703 Belmont Pl E
Belvedere Park,3600 SW Admiral Way
Belvoir Place,3659 42nd Ave NE
Benefit Playground,9320 38th Ave S
Benvenuto Viewpoint,1401 23rd Ave S
Bergen Place,5420 22nd Ave NW
Bhy Kracke Park,1215 5th Ave N
Bitter Lake Playfield,13035 Linden Ave N
Bitter Lake Reservoir Open Space,14201 Linden Ave N
Blaine Place,513 W Olympic Pl
Blue Dog Pond,1520 26th Ave S
Blue Ridge Circle,1851 NW Blue Ridge Dr
Blue Ridge Places,1900 NW Milford Way
Boren Park,1606 15th Ave E
Boren Place,321 Broadway
Boylston Place,815 Broadway
Bradner Gardens Park,1730 Bradner Pl S
Brighton Playfield,6000 39th Ave S
Broadview Park,Greenwood Ave N & N 122nd St
Bryant Neighborhood Playground,4103 NE 65th St
Burke-Gilman Playground Park,5201 Sand Point Way NE
Burke-Gilman Trail,From NE 145 St south on Lake Washington to Ballard
Cal Anderson Park,1635 11th Ave
California Place,2099 California Ave SW
Camp Long,5200 35th Ave SW
Carkeek Park,950 NW Carkeek Park Rd
Carleton Center,2319 Westmont Way W
Carleton Highlands,3298 Perkins Ln W
Cascade Place,5119 Palmer Ct NW
Cascade Playground,333 Pontius Ave N
Cedar Park,3737 NE 135th St
Cesar Chavez Park,700 S Cloverdale St
Charles Richey Sr Viewpoint,3521 Beach Dr SW
Cheasty Boulevard,Cheasty Blvd S & S Della St
Cheasty GS: Cheasty Blvd,Cheasty Blvd S & S Della St
Cheshiahud Lake Union Loop,Six-mile trail around Lake Union
Chinook Beach Park,700 S Cloverdale St
Christie Park,817 NE 43rd St
City Hall Park,450 3rd Ave
Cleveland Playfield,5512 13th Ave S
Coe Play Park,2420 7th Ave W
College Street Park,30th Ave S & S College St
College Street Ravine,5050 SW College St
Colman Park,1800 Lake Washington Blvd S
Colman Playground,1740 23rd Ave S
Columbia Park,4721 Rainier Ave S
Commodore Park,3330 W Commodore Way
Condon Way Centerstrip,"Condon Way W, W Mc Graw St. to W Blaine St."
Corliss Place,2166 N 50th St
Cormorant Cove,3701 Beach Dr SW
Cottage Grove Park,5206 26th Ave SW
Counterbalance Park: An Urban Oasis,700 Queen Anne Ave N
Cowen Park,5849 15th Ave NE
Crescent Place,7515 Orin Ct N
Crown Hill Glen,8735 19th Ave NW
Crown Hill Park,9089 Holman Rd NW
Daejeon Park,1144 Sturgus Ave S
Dahl (Waldo J.) Playfield,7700 25th Ave NE
Dakota Place Park,4304 SW Dakota St
David Rodgers Park,2800 1st Ave W
Day Street Boat Ramp,1402 Lakeside Ave S
Dearborn Park,2919 S Brandon St
