Park Name,Address,lat,lng
12th Ave. Square Park,"564 12th Ave, Seattle, WA 98122, USA",47.607253,-122.316434
14th Avenue NW Boat Ramp,"4400 14th Ave NW, Seattle, WA 98107, USA",47.6609455,-122.3736173
3001 E Madison,"3001 E Madison St, Seattle, WA 98112, USA",47.6248244,-122.2941682
32nd Ave W,"32nd Ave W, Seattle, WA 98199, USA",47.6486485,-122.3982305
6th Avenue NW Pocket Park,"606 NW 76th St, Seattle, WA 98117, USA",47.6840196,-122.3636612
A. B. Ernst Park,"723 N 35th St, Seattle, WA 98103, USA",47.6503354,-122.3487409
Adams Street Boat Ramp,"Lake Washington Blvd S, Seattle, WA, USA",47.5742346,-122.2810858
Albert Davis Park,"12526 27th Ave NE, Seattle, WA 98125, USA",47.7195561,-122.2990663
Alki Beach Park,"1702 Alki Ave SW, Seattle, WA 98116, USA",47.57888,-122.4113365
Alki Playground,"5817 SW Lander St, Seattle, WA 98116, USA",47.5779877,-122.4072433
Alvin Larkins Park,"1504 34th Ave, Seattle, WA 98122, USA",47.6141937,-122.2892302
Amy Yee Tennis Center,"2000 Martin Luther King Jr Way S, Seattle, WA 98144, USA",47.585334,-122.2976489
Andover Place,"4000 Beach Dr SW, Seattle, WA 98116, USA",47.5685076,-122.409167
Arapahoe Triangle,"3431 Arapahoe Pl W, Seattle, WA 98199, USA",47.6514896,-122.4089628
Arroyos Natural Area,"4120 SW Arroyo Dr, Seattle, WA 98146, USA",47.5041318,-122.3849421
Atlantic City Boat Ramp,"8702 Seward Park Ave S, Seattle, WA 98118, USA",47.5255952,-122.2647276
Atlantic Street Park,"1501 21st Ave S, Seattle, WA 98144, USA",47.5895101,-122.3051832
B.F. Day Playground,"4020 Fremont Ave N, Seattle, WA 98103, USA",47.6553016,-122.3499114
Bagley Viewpoint,"2548 Delmar Dr E, Seattle, WA 98102, USA",47.6431454,-122.3189285
Baker Park on Crown Hill,"8347 14th Ave NW, Seattle, WA 98117, USA",47.690121,-122.3744465
Ballard Commons Park,"5701 22nd Ave NW, Seattle, WA 98107, USA",47.6704585,-122.3854907
Ballard Corners Park,"1702 NW 62nd St, Seattle, WA 98107, USA",47.674048,-122.379119
Ballard Playground,"2644 NW 60th St, Seattle, WA 98107, USA",47.672361,-122.390807
Banner Way Triangle,"7802 Banner Way NE, Seattle, WA 98115, USA",47.6850969,-122.322935
Bar-S Playground,"6425 SW Admiral Way, Seattle, WA 98116, USA",47.5759488,-122.4152022
Bayview Playground,"2614 24th Ave W, Seattle, WA 98199, USA",47.6435491,-122.387612
Bayview-Kinnear (Lower Kerry Park),"3rd Ave W, Birmingham, AL, USA",33.5053795,-86.85091109999999
